connectivity_key,contribution_type,contributor_id,source_dataset
BSYNRYMUTXBXSQ,excluded_record_component,REC:ad60a107a47a24492c88f6eda510ca7a1cb3dbf1b00c01914fc118755bc99707,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:ae61d3e9d37751d4798698cf7ad45f9e8a216b9d037df48f7dff48bed1a8b191,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:b07fa66df37d666b7f2375c3577c7382011a2d550ee702cc188096f6d27b7bae,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:dc7ddb4f167de84588621c84ba5ed246bcb6d3e1ee4dda24928ec9a20b22d57b,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:f437eb644f02e5a3d9b0dd26686e59870126ab49232d8b35c9deef14cec10948,cpdb
BSYNRYMUTXBXSQ,excluded_record_component,REC:fa43215f3e796fcc665b4acfc040f17755c08993f74ff13867ce33e3c4b2140e,cpdb
BTAGRXWGMYTPBY,compound_role,CMP:BTAGRXWGMYTPBY-UHFFFAOYSA-N,cpdb
BTGRAWJCKBQKAO,compound_role,CMP:BTGRAWJCKBQKAO-UHFFFAOYSA-N,iris
BTJIUGUIPKRLHP,compound_role,CMP:BTJIUGUIPKRLHP-UHFFFAOYSA-N,iris
BTLXPCBPYBNQNR,compound_role,CMP:BTLXPCBPYBNQNR-UHFFFAOYSA-N,cpdb
BUMHFBGBXFTGJZ,compound_role,CMP:BUMHFBGBXFTGJZ-UHFFFAOYSA-N,cpdb
